Activity Type,Distance,Calories,Avg HR,Avg Speed,Elev Gain,Elev Loss,Avg Bike Cadence,Duration(min)
indoor_cycling,25.91,696.0,164.0,20.3,337.4,331.6,89.0,76.6
outdoor_cycling,20.81,679.0,162.0,15.4,105.0,89.0,83.0,81.2
outdoor_cycling,46.22,1158.0,158.0,16.3,276.0,318.0,83.0,169.8
indoor_cycling,23.27,634.0,149.0,17.7,337.4,331.6,84.0,78.9
indoor_cycling,12.21,512.0,160.0,12.1,337.4,331.6,85.0,60.5
indoor_cycling,17.04,490.0,156.0,13.0,337.4,3.0,82.0,78.4
indoor_cycling,22.22,696.0,162.0,17.4,337.4,331.6,86.0,76.7
indoor_cycling,20.44,605.0,153.0,16.0,337.4,331.6,85.0,76.5
indoor_cycling,27.88,862.0,152.0,14.4,337.4,3.0,81.0,116.4
indoor_cycling,10.2,311.0,161.0,17.4,33.0,16.0,85.0,2107.0
outdoor_cycling,10.43,268.0,149.0,15.3,82.0,62.0,80.0,2449.0
outdoor_cycling,51.81,1332.0,168.0,19.8,489.0,531.0,84.0,157.2
outdoor_cycling,48.18,1289.0,159.0,18.8,433.0,518.0,82.0,153.5
outdoor_cycling,17.36,430.0,150.2,16.2,23.0,30.0,77.0,64.2
outdoor_cycling,16.48,495.0,158.0,16.2,337.4,331.6,82.0,61.0
outdoor_cycling,56.17,1304.0,155.0,18.4,531.0,571.0,82.0,183.2
outdoor_cycling,70.96,1695.0,147.0,19.0,400.0,427.0,86.0,224.6
outdoor_cycling,57.92,1435.0,165.0,18.8,499.0,541.0,85.0,185.2
indoor_cycling,4.57,158.0,150.0,16.5,337.4,331.6,83.0,16.7
indoor_cycling,19.46,547.0,141.0,17.8,337.4,331.6,83.0,65.6
outdoor_cycling,62.77,1541.0,164.0,19.0,577.0,594.0,86.0,198.5
outdoor_cycling,0.02,613.9,83.0,111.2,337.4,331.6,83.0,0.0
outdoor_cycling,20.43,718.0,129.0,10.6,135.0,128.0,73.0,115.1
indoor_cycling,62.65,1778.0,158.0,20.3,3.0,7.0,80.0,185.4
indoor_cycling,20.58,557.0,149.0,19.6,10.0,16.0,83.0,63.1
indoor_cycling,20.01,554.0,151.0,19.2,337.4,331.6,83.0,62.4
indoor_cycling,18.8,528.0,152.0,19.0,337.4,3.0,83.0,3566.0
indoor_cycling,23.45,551.0,129.0,19.3,337.4,331.6,83.0,72.9
